artist,followers,popularity,offer
Dijah SB,3,0,1380.0
Dione Taylor,331,4,2000.0
Dirty Catfish Brass Band,833,8,1725.0
Diyet,117,2,4125.0
Dizzy Mystics,266,3,1265.0
Dizzy.,0,0,74121.02
Dj Arabika,5275,22,2000.0
Doghouse Rose,601,10,2000.0
Dom Vallie,12669,43,33983.0
Domanique Grant,201,2,34660.0
Dominique Fils-Aimé,17954,42,30000.0
Don Amero,1603,26,1265.0
Dongso Julia Kim,0,0,2000.0
Donna Makeda,93,0,2208.0
Donné,0,0,2000.0
Donovan Woods,59617,63,83227.0
Doohickey Cubicle,454,24,2000.0
Dorothea Paas,567,22,2975.0
Dos Pesos,10,0,2000.0
Dr G,0,0,2000.0
Dr. Réa Beaumont,0,0,2000.0
Dream Babe,60,1,2000.0
Dreams Yukon,43,0,2000.0
Duane Andrews,1813,18,2000.0
Dubmatix,18516,36,10000.0
Ducks Unlimited,0,0,1725.0
Duo Corvi,0,0,2000.0
Dylan Hennessy,0,0,2000.0
Dylan Joshua,1636,40,2000.0
Dylan MacDonald,0,0,1035.0
Dylan Sinclair,34377,49,16337.0
E.G. Palermo,8,0,2000.0
EMARRA,77,0,2000.0
ESCO,0,0,2000.0
ESMO,64,3,10566.0
EVAN FARRELL,198,7,2000.0
Eadsé,97,4,2000.0
Eagle & Hawk,387,13,15000.0
Earle and Coffin,0,0,2070.0
Earlybird,307,17,2000.0
Econoline Crush,20662,33,10000.0
Edna King,128,1,1597.97
Edward Enman,8,0,2000.0
Eihdz,129,9,2000.0
Ekali,129147,57,60000.0
El Leon and The Strangers,0,0,2000.0
Electric Religious,424,11,7000.0
Elephant Stone,11614,31,47582.29
Eliana Cuevas,306,6,2875.0
Elijah Blond,5142,43,2000.0
Elijah Woods,9618,49,7500.0
Elijah Woods x Jamie Fine,23385,44,2243.0
Elko,13296,49,56939.0
Ella Hartt,78,0,2000.0
Elle McAndrews,131,1,2000.0
Ellevator,2036,13,2000.0
Elliot Maginot,5359,33,1265.0
Elliott Brood,16521,37,26004.0
Ellis,26501,53,44117.0
Ellyn Woods,392,38,12300.0
Elyse Saunders,525,23,60000.0
Emi Jeen,483,15,2000.0
Emily Cook,21,7,2000.0
Emily Gilbart,73,1,2000.0
Emily Marques,112,20,2000.0
Emily Raquel,38,0,2000.0
Emily Reid,3298,31,2000.0
Emily Rockarts,596,4,29568.16
Emily Triggs,129,2,1380.0
Emma Aurelia,0,0,2000.0
Emma Beko,1515,34,2000.0
Emma Cook,0,15,25000.0
Emma Kade,108,12,2000.0
Emma Lamontagne,482,8,2515.19
Emma Peterson,18,5,2000.0
Emmet Michael,505,9,2000.0
Empress Nyiringango,3,3,2000.0
Emsea,725,8,2000.0
Endrick & The Sandwiches,97,2,12418.0
Ensemble Made In Canada,46,3,44932.17
Erez Zobary,3050,34,2000.0
Eric Ethridge,11930,44,40000.0
Eric Morier,0,0,2000.0
Erica Knox,107,1,2000.0
Erika Lamon,51,0,2000.0
Erin Propp & Larry Roy,52,8,13967.0
Ernesto Cervini,190,9,10000.0
Esther Medley-Smith,0,0,2000.0
Eternal Closure,194,3,1380.0
Evan Shay,26,0,2000.0
Eve Parker Finley,863,6,2000.0
